number,value,datetime_start,datetime_complete,duration,params_recovery_threshold,state
0,0.22355610428083805,2023-06-18 14:50:44.585866,2023-06-18 14:50:46.995762,0 days 00:00:02.409896,52,COMPLETE
1,0.297014209841962,2023-06-18 14:50:44.587447,2023-06-18 14:50:46.952850,0 days 00:00:02.365403,64,COMPLETE
2,0.11193675097811175,2023-06-18 14:50:44.635931,2023-06-18 14:50:47.299775,0 days 00:00:02.663844,25,COMPLETE
3,0.13867958698988436,2023-06-18 14:50:44.642752,2023-06-18 14:50:47.002788,0 days 00:00:02.360036,36,COMPLETE
4,0.41299505734231756,2023-06-18 14:50:44.733044,2023-06-18 14:50:47.278848,0 days 00:00:02.545804,84,COMPLETE
5,0.6151662368318453,2023-06-18 14:50:44.785862,2023-06-18 14:50:47.706288,0 days 00:00:02.920426,118,COMPLETE
6,0.5319498524982372,2023-06-18 14:50:44.828053,2023-06-18 14:50:47.388452,0 days 00:00:02.560399,102,COMPLETE
7,0.6387534559879036,2023-06-18 14:50:44.899005,2023-06-18 14:50:48.040045,0 days 00:00:03.141040,122,COMPLETE
8,0.21920052298421971,2023-06-18 14:50:44.989841,2023-06-18 14:50:47.873731,0 days 00:00:02.883890,51,COMPLETE
9,0.12012757817501539,2023-06-18 14:50:44.990519,2023-06-18 14:50:47.868323,0 days 00:00:02.877804,8,COMPLETE
10,0.6583048226338094,2023-06-18 14:50:45.020149,2023-06-18 14:50:47.839322,0 days 00:00:02.819173,125,COMPLETE
11,0.4839687266231011,2023-06-18 14:50:45.037065,2023-06-18 14:50:48.000453,0 days 00:00:02.963388,94,COMPLETE
12,0.2798828907120554,2023-06-18 14:50:47.401895,2023-06-18 14:50:48.859065,0 days 00:00:01.457170,61,COMPLETE
13,0.1665384171067536,2023-06-18 14:50:47.439747,2023-06-18 14:50:48.672975,0 days 00:00:01.233228,41,COMPLETE
14,0.6534138870710378,2023-06-18 14:50:47.860333,2023-06-18 14:50:49.023981,0 days 00:00:01.163648,124,COMPLETE
15,0.12184192740876287,2023-06-18 14:50:48.019587,2023-06-18 14:50:49.345837,0 days 00:00:01.326250,3,COMPLETE
16,0.12178657811024218,2023-06-18 14:50:48.135250,2023-06-18 14:50:49.455733,0 days 00:00:01.320483,0,COMPLETE
17,0.12168860514163538,2023-06-18 14:50:48.290524,2023-06-18 14:50:49.655537,0 days 00:00:01.365013,5,COMPLETE
18,0.12178657811024218,2023-06-18 14:50:48.599660,2023-06-18 14:50:50.231657,0 days 00:00:01.631997,1,COMPLETE
19,0.12178657811024218,2023-06-18 14:50:48.775579,2023-06-18 14:50:50.364244,0 days 00:00:01.588665,1,COMPLETE
20,0.12198347279971113,2023-06-18 14:50:49.058665,2023-06-18 14:50:51.066816,0 days 00:00:02.008151,2,COMPLETE
21,0.12198347279971113,2023-06-18 14:50:49.398179,2023-06-18 14:50:51.450068,0 days 00:00:02.051889,2,COMPLETE
22,0.11439094581640494,2023-06-18 14:50:49.469490,2023-06-18 14:50:51.214528,0 days 00:00:01.745038,19,COMPLETE
23,0.11625332759844291,2023-06-18 14:50:49.615913,2023-06-18 14:50:51.817437,0 days 00:00:02.201524,18,COMPLETE
24,0.11298756834467646,2023-06-18 14:50:49.942294,2023-06-18 14:50:51.933920,0 days 00:00:01.991626,21,COMPLETE
25,0.11298756834467646,2023-06-18 14:50:49.964290,2023-06-18 14:50:51.823858,0 days 00:00:01.859568,21,COMPLETE
26,0.11212266056710413,2023-06-18 14:50:50.364868,2023-06-18 14:50:52.465184,0 days 00:00:02.100316,22,COMPLETE
27,0.11160067737487261,2023-06-18 14:50:50.620904,2023-06-18 14:50:52.646865,0 days 00:00:02.025961,23,COMPLETE
28,0.11439094581640494,2023-06-18 14:50:50.734060,2023-06-18 14:50:52.380482,0 days 00:00:01.646422,19,COMPLETE
29,0.11439094581640494,2023-06-18 14:50:51.179360,2023-06-18 14:50:53.289146,0 days 00:00:02.109786,19,COMPLETE
30,0.11212266056710413,2023-06-18 14:50:51.526587,2023-06-18 14:50:53.485229,0 days 00:00:01.958642,22,COMPLETE
31,0.11212266056710413,2023-06-18 14:50:51.637814,2023-06-18 14:50:53.711001,0 days 00:00:02.073187,22,COMPLETE
32,0.11160067737487261,2023-06-18 14:50:51.875906,2023-06-18 14:50:53.816234,0 days 00:00:01.940328,23,COMPLETE
33,0.11464015568814737,2023-06-18 14:50:52.194933,2023-06-18 14:50:54.170459,0 days 00:00:01.975526,28,COMPLETE
34,0.11723021046300627,2023-06-18 14:50:52.455344,2023-06-18 14:50:54.073241,0 days 00:00:01.617897,31,COMPLETE
35,0.12414569277165569,2023-06-18 14:50:52.595613,2023-06-18 14:50:54.798773,0 days 00:00:02.203160,33,COMPLETE
36,0.12414569277165569,2023-06-18 14:50:53.006506,2023-06-18 14:50:54.879466,0 days 00:00:01.872960,33,COMPLETE
37,0.12925172349831732,2023-06-18 14:50:53.231073,2023-06-18 14:50:54.970565,0 days 00:00:01.739492,34,COMPLETE
38,0.13867958698988436,2023-06-18 14:50:53.417266,2023-06-18 14:50:55.437451,0 days 00:00:02.020185,36,COMPLETE
39,0.1325978289923049,2023-06-18 14:50:53.721309,2023-06-18 14:50:55.443081,0 days 00:00:01.721772,35,COMPLETE
40,0.12925172349831732,2023-06-18 14:50:54.049796,2023-06-18 14:50:55.922349,0 days 00:00:01.872553,34,COMPLETE
41,0.17473053006351758,2023-06-18 14:50:54.340792,2023-06-18 14:50:56.073218,0 days 00:00:01.732426,43,COMPLETE
42,0.17185235645813354,2023-06-18 14:50:54.668201,2023-06-18 14:50:56.167127,0 days 00:00:01.498926,42,COMPLETE
43,0.17185235645813354,2023-06-18 14:50:54.977505,2023-06-18 14:50:56.719615,0 days 00:00:01.742110,42,COMPLETE
44,0.18142161595442985,2023-06-18 14:50:55.165773,2023-06-18 14:50:57.160042,0 days 00:00:01.994269,44,COMPLETE
45,0.23265797305448854,2023-06-18 14:50:55.224312,2023-06-18 14:50:57.120135,0 days 00:00:01.895823,53,COMPLETE
46,0.18142161595442985,2023-06-18 14:50:55.471803,2023-06-18 14:50:57.486886,0 days 00:00:02.015083,44,COMPLETE
47,0.18142161595442985,2023-06-18 14:50:55.673187,2023-06-18 14:50:57.565061,0 days 00:00:01.891874,44,COMPLETE
48,0.1873076978577462,2023-06-18 14:50:55.922955,2023-06-18 14:50:57.964758,0 days 00:00:02.041803,45,COMPLETE
49,0.1873076978577462,2023-06-18 14:50:56.060883,2023-06-18 14:50:57.928500,0 days 00:00:01.867617,45,COMPLETE
50,0.11841145283653845,2023-06-18 14:50:56.290186,2023-06-18 14:50:58.028594,0 days 00:00:01.738408,11,COMPLETE
51,0.11894624299829107,2023-06-18 14:50:56.416284,2023-06-18 14:50:58.234187,0 days 00:00:01.817903,13,COMPLETE
52,0.11924469493663015,2023-06-18 14:50:56.811474,2023-06-18 14:50:58.544295,0 days 00:00:01.732821,12,COMPLETE
53,0.11918654504287204,2023-06-18 14:50:57.237667,2023-06-18 14:50:58.846484,0 days 00:00:01.608817,10,COMPLETE
54,0.11841145283653845,2023-06-18 14:50:57.622172,2023-06-18 14:50:59.360927,0 days 00:00:01.738755,11,COMPLETE
55,0.11841145283653845,2023-06-18 14:50:57.711915,2023-06-18 14:50:59.259104,0 days 00:00:01.547189,11,COMPLETE
56,0.11223313018761735,2023-06-18 14:50:57.878763,2023-06-18 14:50:59.809446,0 days 00:00:01.930683,26,COMPLETE
57,0.11924469493663015,2023-06-18 14:50:58.058573,2023-06-18 14:51:00.230672,0 days 00:00:02.172099,12,COMPLETE
58,0.11223313018761735,2023-06-18 14:50:58.317342,2023-06-18 14:51:00.001808,0 days 00:00:01.684466,26,COMPLETE
59,0.11223313018761735,2023-06-18 14:50:58.590822,2023-06-18 14:51:00.248740,0 days 00:00:01.657918,26,COMPLETE
60,0.11239141141185838,2023-06-18 14:50:58.872253,2023-06-18 14:51:00.725386,0 days 00:00:01.853133,27,COMPLETE
61,0.11239141141185838,2023-06-18 14:50:58.993932,2023-06-18 14:51:01.044414,0 days 00:00:02.050482,27,COMPLETE
62,0.11223313018761735,2023-06-18 14:50:59.157866,2023-06-18 14:51:01.181000,0 days 00:00:02.023134,26,COMPLETE
63,0.36477727356798717,2023-06-18 14:50:59.318054,2023-06-18 14:51:01.147124,0 days 00:00:01.829070,76,COMPLETE
64,0.11239141141185838,2023-06-18 14:50:59.574932,2023-06-18 14:51:01.536658,0 days 00:00:01.961726,27,COMPLETE
65,0.3214258386564556,2023-06-18 14:50:59.832552,2023-06-18 14:51:01.640520,0 days 00:00:01.807968,68,COMPLETE
66,0.39693047788378655,2023-06-18 14:51:00.144212,2023-06-18 14:51:01.721386,0 days 00:00:01.577174,81,COMPLETE
67,0.21365423410642537,2023-06-18 14:51:00.446118,2023-06-18 14:51:01.938906,0 days 00:00:01.492788,50,COMPLETE
68,0.5804984029333957,2023-06-18 14:51:00.869739,2023-06-18 14:51:02.565526,0 days 00:00:01.695787,110,COMPLETE
69,0.11711554630110962,2023-06-18 14:51:01.004282,2023-06-18 14:51:02.966963,0 days 00:00:01.962681,16,COMPLETE
70,0.11744106057767796,2023-06-18 14:51:01.386974,2023-06-18 14:51:03.574844,0 days 00:00:02.187870,15,COMPLETE
71,0.11212266056710413,2023-06-18 14:51:01.422077,2023-06-18 14:51:03.300147,0 days 00:00:01.878070,22,COMPLETE
72,0.11212266056710413,2023-06-18 14:51:01.644355,2023-06-18 14:51:03.824275,0 days 00:00:02.179920,22,COMPLETE
73,0.11692964718653172,2023-06-18 14:51:01.893097,2023-06-18 14:51:03.902763,0 days 00:00:02.009666,17,COMPLETE
74,0.5628097714204385,2023-06-18 14:51:01.969769,2023-06-18 14:51:03.891156,0 days 00:00:01.921387,107,COMPLETE
75,0.575863480167415,2023-06-18 14:51:02.121989,2023-06-18 14:51:04.179371,0 days 00:00:02.057382,109,COMPLETE
76,0.11711554630110962,2023-06-18 14:51:02.314243,2023-06-18 14:51:04.158648,0 days 00:00:01.844405,16,COMPLETE
77,0.11212266056710413,2023-06-18 14:51:02.611517,2023-06-18 14:51:04.657931,0 days 00:00:02.046414,22,COMPLETE
78,0.11711554630110962,2023-06-18 14:51:02.933826,2023-06-18 14:51:04.784336,0 days 00:00:01.850510,16,COMPLETE
79,0.12123088428341403,2023-06-18 14:51:03.207661,2023-06-18 14:51:04.841884,0 days 00:00:01.634223,6,COMPLETE
80,0.12123088428341403,2023-06-18 14:51:03.877531,2023-06-18 14:51:05.291417,0 days 00:00:01.413886,6,COMPLETE
81,0.11212266056710413,2023-06-18 14:51:04.012860,2023-06-18 14:51:05.495194,0 days 00:00:01.482334,22,COMPLETE
82,0.12168860514163538,2023-06-18 14:51:04.266144,2023-06-18 14:51:06.022297,0 days 00:00:01.756153,5,COMPLETE
83,0.12123088428341403,2023-06-18 14:51:04.404131,2023-06-18 14:51:06.269069,0 days 00:00:01.864938,6,COMPLETE
84,0.12021929982564306,2023-06-18 14:51:04.629060,2023-06-18 14:51:06.718612,0 days 00:00:02.089552,7,COMPLETE
85,0.12123088428341403,2023-06-18 14:51:04.723040,2023-06-18 14:51:06.594946,0 days 00:00:01.871906,6,COMPLETE
86,0.11212266056710413,2023-06-18 14:51:04.849932,2023-06-18 14:51:07.157937,0 days 00:00:02.308005,22,COMPLETE
87,0.11160067737487261,2023-06-18 14:51:05.055223,2023-06-18 14:51:06.838275,0 days 00:00:01.783052,23,COMPLETE
88,0.11212266056710413,2023-06-18 14:51:05.366913,2023-06-18 14:51:07.351162,0 days 00:00:01.984249,22,COMPLETE
89,0.15628440601023547,2023-06-18 14:51:05.577286,2023-06-18 14:51:07.370640,0 days 00:00:01.793354,39,COMPLETE
90,0.11212266056710413,2023-06-18 14:51:05.630819,2023-06-18 14:51:07.947548,0 days 00:00:02.316729,22,COMPLETE
91,0.11212266056710413,2023-06-18 14:51:05.898573,2023-06-18 14:51:07.750196,0 days 00:00:01.851623,22,COMPLETE
92,0.11212266056710413,2023-06-18 14:51:06.171150,2023-06-18 14:51:08.004095,0 days 00:00:01.832945,22,COMPLETE
93,0.11298756834467646,2023-06-18 14:51:06.511108,2023-06-18 14:51:08.357818,0 days 00:00:01.846710,21,COMPLETE
94,0.11160067737487261,2023-06-18 14:51:06.880990,2023-06-18 14:51:08.673278,0 days 00:00:01.792288,23,COMPLETE
95,0.15628440601023547,2023-06-18 14:51:07.088052,2023-06-18 14:51:09.196325,0 days 00:00:02.108273,39,COMPLETE
96,0.15082681792780586,2023-06-18 14:51:07.146445,2023-06-18 14:51:09.385505,0 days 00:00:02.239060,38,COMPLETE
97,0.11723021046300627,2023-06-18 14:51:07.433599,2023-06-18 14:51:09.471323,0 days 00:00:02.037724,31,COMPLETE
98,0.12009231060723344,2023-06-18 14:51:07.761416,2023-06-18 14:51:09.375207,0 days 00:00:01.613791,32,COMPLETE
99,0.11641173921647176,2023-06-18 14:51:07.786035,2023-06-18 14:51:09.733600,0 days 00:00:01.947565,30,COMPLETE
100,0.11641173921647176,2023-06-18 14:51:07.847718,2023-06-18 14:51:10.032637,0 days 00:00:02.184919,30,COMPLETE
101,0.11641173921647176,2023-06-18 14:51:08.171507,2023-06-18 14:51:10.170761,0 days 00:00:01.999254,30,COMPLETE
102,0.11723021046300627,2023-06-18 14:51:08.478516,2023-06-18 14:51:10.402130,0 days 00:00:01.923614,31,COMPLETE
103,0.11514724650477315,2023-06-18 14:51:08.709488,2023-06-18 14:51:10.708278,0 days 00:00:01.998790,29,COMPLETE
104,0.11641173921647176,2023-06-18 14:51:09.200232,2023-06-18 14:51:10.916990,0 days 00:00:01.716758,30,COMPLETE
105,0.11514724650477315,2023-06-18 14:51:09.528770,2023-06-18 14:51:11.268880,0 days 00:00:01.740110,29,COMPLETE
106,0.11641173921647176,2023-06-18 14:51:09.691190,2023-06-18 14:51:11.489491,0 days 00:00:01.798301,30,COMPLETE
107,0.11439094581640494,2023-06-18 14:51:09.944340,2023-06-18 14:51:11.658314,0 days 00:00:01.713974,19,COMPLETE
108,0.11514724650477315,2023-06-18 14:51:09.999841,2023-06-18 14:51:12.457187,0 days 00:00:02.457346,29,COMPLETE
109,0.11120423197499296,2023-06-18 14:51:10.197491,2023-06-18 14:51:11.900579,0 days 00:00:01.703088,24,COMPLETE
110,0.11439094581640494,2023-06-18 14:51:10.420149,2023-06-18 14:51:12.304898,0 days 00:00:01.884749,19,COMPLETE
111,0.11439094581640494,2023-06-18 14:51:10.529858,2023-06-18 14:51:12.295470,0 days 00:00:01.765612,19,COMPLETE
