number,value,datetime_start,datetime_complete,duration,params_out_of_final_third_threshold,params_pass_reception_threshold,params_possession_threshold,params_zone_r,state
0,7.5375,2023-06-19 22:17:55.221688,2023-06-19 22:20:15.846985,0 days 00:02:20.625297,119,6,91,2.815978897079005,COMPLETE
1,7.88125,2023-06-19 22:17:55.223921,2023-06-19 22:20:16.363092,0 days 00:02:21.139171,238,79,68,1.5148527966468217,COMPLETE
2,10.10625,2023-06-19 22:17:55.225710,2023-06-19 22:20:14.168575,0 days 00:02:18.942865,372,85,118,4.834202747781921,COMPLETE
3,9.70625,2023-06-19 22:17:55.228551,2023-06-19 22:20:13.916370,0 days 00:02:18.687819,137,118,63,4.788473375321006,COMPLETE
4,8.0,2023-06-19 22:17:55.230156,2023-06-19 22:20:14.659864,0 days 00:02:19.429708,312,19,112,2.9595750946200434,COMPLETE
5,13.468750000000002,2023-06-19 22:17:55.232200,2023-06-19 22:20:14.943378,0 days 00:02:19.711178,61,0,10,2.454716888036139,COMPLETE
6,14.1875,2023-06-19 22:17:55.233270,2023-06-19 22:20:15.809377,0 days 00:02:20.576107,58,37,1,3.077459834546515,COMPLETE
7,8.56875,2023-06-19 22:17:55.234284,2023-06-19 22:20:15.790162,0 days 00:02:20.555878,250,111,113,4.778074864323737,COMPLETE
8,11.0875,2023-06-19 22:17:55.235674,2023-06-19 22:20:14.967969,0 days 00:02:19.732295,457,34,120,3.84935464033119,COMPLETE
9,9.081249999999999,2023-06-19 22:17:55.236947,2023-06-19 22:20:15.642285,0 days 00:02:20.405338,121,0,64,4.701119965653556,COMPLETE
10,7.75625,2023-06-19 22:17:55.238053,2023-06-19 22:20:13.614451,0 days 00:02:18.376398,393,12,35,3.957297524701605,COMPLETE
11,8.74375,2023-06-19 22:17:55.239130,2023-06-19 22:20:14.475120,0 days 00:02:19.235990,317,20,27,4.699389847913626,COMPLETE
12,7.7875,2023-06-19 22:20:14.554506,2023-06-19 22:22:24.104463,0 days 00:02:09.549957,174,32,116,3.2134881673146856,COMPLETE
13,8.85,2023-06-19 22:20:15.621648,2023-06-19 22:22:36.997366,0 days 00:02:21.375718,435,26,59,4.271218255833961,COMPLETE
14,11.78125,2023-06-19 22:20:16.355033,2023-06-19 22:22:36.141824,0 days 00:02:19.786791,499,61,85,1.7036109999755698,COMPLETE
15,10.79375,2023-06-19 22:20:16.560340,2023-06-19 22:22:34.761580,0 days 00:02:18.201240,486,57,90,3.814531725992392,COMPLETE
