number,value,datetime_start,datetime_complete,duration,params_frame_gap,params_over_duration,params_over_height_threshold,state
0,0.31393677053053337,2023-06-20 13:46:19.312210,2023-06-20 13:48:57.039589,0 days 00:02:37.727379,-20,45,2.91847274238723,COMPLETE
1,0.49212078410684795,2023-06-20 13:46:19.317884,2023-06-20 13:48:54.455530,0 days 00:02:35.137646,-9,59,5.450801216162581,COMPLETE
2,0.22556376332623995,2023-06-20 13:46:19.320413,2023-06-20 13:48:50.993911,0 days 00:02:31.673498,52,75,3.6612174851799377,COMPLETE
3,0.274904635216606,2023-06-20 13:46:19.321313,2023-06-20 13:48:50.926109,0 days 00:02:31.604796,38,42,3.7974572713259223,COMPLETE
4,0.23018912157936805,2023-06-20 13:46:19.322378,2023-06-20 13:48:50.941922,0 days 00:02:31.619544,23,144,4.070136744773615,COMPLETE
5,0.32623844963499526,2023-06-20 13:46:19.343886,2023-06-20 13:48:50.960695,0 days 00:02:31.616809,22,144,4.955654411185792,COMPLETE
6,0.30629697438706566,2023-06-20 13:46:19.348958,2023-06-20 13:48:52.529114,0 days 00:02:33.180156,8,74,3.2677956443838783,COMPLETE
7,0.23327707758098226,2023-06-20 13:46:19.353832,2023-06-20 13:48:50.891148,0 days 00:02:31.537316,68,72,3.922777644445551,COMPLETE
8,0.24890318926794286,2023-06-20 13:46:19.355696,2023-06-20 13:48:50.900235,0 days 00:02:31.544539,17,120,3.2199176580368367,COMPLETE
9,0.23036530675150924,2023-06-20 13:46:19.357318,2023-06-20 13:48:50.938911,0 days 00:02:31.581593,31,94,1.6191345187707245,COMPLETE
10,0.3395002240075859,2023-06-20 13:46:19.363980,2023-06-20 13:48:50.924336,0 days 00:02:31.560356,75,91,5.4911590639126855,COMPLETE
11,0.303057800206324,2023-06-20 13:46:19.364752,2023-06-20 13:48:55.434640,0 days 00:02:36.069888,-11,149,4.4037009490590755,COMPLETE
12,0.21331707738680872,2023-06-20 13:48:50.943366,2023-06-20 13:51:16.255561,0 days 00:02:25.312195,48,93,3.4983542570600186,COMPLETE
13,0.2347242704661437,2023-06-20 13:48:50.963794,2023-06-20 13:51:12.922854,0 days 00:02:21.959060,65,29,3.1573793935522425,COMPLETE
14,0.3121357627037289,2023-06-20 13:48:50.977267,2023-06-20 13:51:09.535277,0 days 00:02:18.558010,67,114,5.313200785720962,COMPLETE
15,0.2173950598489559,2023-06-20 13:48:51.004766,2023-06-20 13:51:21.281730,0 days 00:02:30.276964,48,89,3.617771790065513,COMPLETE
16,0.29948066712315,2023-06-20 13:48:51.526385,2023-06-20 13:51:12.802690,0 days 00:02:21.276305,42,145,1.7082466665664295,COMPLETE
17,0.3511297096196284,2023-06-20 13:48:51.967682,2023-06-20 13:51:28.116228,0 days 00:02:36.148546,8,79,3.903803986374768,COMPLETE
18,0.21043503842203598,2023-06-20 13:48:52.526007,2023-06-20 13:51:14.913514,0 days 00:02:22.387507,62,111,3.6823704796977528,COMPLETE
19,0.2741546874391949,2023-06-20 13:48:53.421404,2023-06-20 13:51:29.534252,0 days 00:02:36.112848,-2,81,2.578458718492088,COMPLETE
20,0.2706962592028355,2023-06-20 13:48:53.916507,2023-06-20 13:51:22.616765,0 days 00:02:28.700258,-20,75,2.618875989274445,COMPLETE
21,0.17617116734161825,2023-06-20 13:48:55.414768,2023-06-20 13:51:24.707961,0 days 00:02:29.293193,51,38,2.374375676179141,COMPLETE
22,0.18866182741566564,2023-06-20 13:48:55.494555,2023-06-20 13:51:10.535927,0 days 00:02:15.041372,52,109,2.8867108815827915,COMPLETE
23,0.250444859254234,2023-06-20 13:48:57.059214,2023-06-20 13:51:24.681445,0 days 00:02:27.622231,50,112,4.416801959709879,COMPLETE
24,0.24391606527852622,2023-06-20 13:51:09.583532,2023-06-20 13:53:28.305221,0 days 00:02:18.721689,50,117,4.361241048423558,COMPLETE
25,0.17820699340210755,2023-06-20 13:51:10.574363,2023-06-20 13:53:28.953370,0 days 00:02:18.379007,45,110,2.6690642458939897,COMPLETE
26,0.18816945833005425,2023-06-20 13:51:12.831033,2023-06-20 13:53:34.522341,0 days 00:02:21.691308,52,111,2.6468049895754358,COMPLETE
27,0.17542684541352313,2023-06-20 13:51:12.954038,2023-06-20 13:53:35.470713,0 days 00:02:22.516675,56,107,2.5653861533331637,COMPLETE
28,0.1828186297019224,2023-06-20 13:51:14.937374,2023-06-20 13:53:38.148611,0 days 00:02:23.211237,54,113,2.708344401896776,COMPLETE
29,0.18316801837957633,2023-06-20 13:51:16.274603,2023-06-20 13:53:39.828531,0 days 00:02:23.553928,54,113,2.6347172378002592,COMPLETE
30,0.1875203675291663,2023-06-20 13:51:21.315108,2023-06-20 13:53:46.979475,0 days 00:02:25.664367,60,110,2.6571346336253874,COMPLETE
31,0.18017556318328398,2023-06-20 13:51:22.660191,2023-06-20 13:53:46.238708,0 days 00:02:23.578517,56,115,2.524786613908543,COMPLETE
32,0.21165224684055872,2023-06-20 13:51:24.711319,2023-06-20 13:53:54.047989,0 days 00:02:29.336670,59,125,2.380899834307684,COMPLETE
33,0.20326289643402684,2023-06-20 13:51:25.156103,2023-06-20 13:53:54.156633,0 days 00:02:29.000530,58,124,2.457078081798048,COMPLETE
34,0.20359609505449525,2023-06-20 13:51:28.167317,2023-06-20 13:53:53.269519,0 days 00:02:25.102202,60,129,2.5125466329888857,COMPLETE
35,0.19483592184090498,2023-06-20 13:51:29.588927,2023-06-20 13:53:58.739948,0 days 00:02:29.151021,59,105,2.2917646921656063,COMPLETE
36,0.22840785855700835,2023-06-20 13:53:28.363221,2023-06-20 13:55:46.521567,0 days 00:02:18.158346,59,129,2.143844653855793,COMPLETE
37,0.24500242741255887,2023-06-20 13:53:28.972060,2023-06-20 13:55:47.918841,0 days 00:02:18.946781,35,130,2.201863709597375,COMPLETE
38,0.2428675259990311,2023-06-20 13:53:34.555663,2023-06-20 13:55:57.306726,0 days 00:02:22.751063,37,131,2.162756073518355,COMPLETE
39,0.24524651880006637,2023-06-20 13:53:35.481944,2023-06-20 13:56:01.380442,0 days 00:02:25.898498,34,134,2.340617137856534,COMPLETE
40,0.24990992719093583,2023-06-20 13:53:38.191063,2023-06-20 13:56:05.550343,0 days 00:02:27.359280,32,131,2.213629724382126,COMPLETE
41,0.24375221499344624,2023-06-20 13:53:39.853184,2023-06-20 13:56:01.226883,0 days 00:02:21.373699,36,133,2.1707774502058976,COMPLETE
42,0.23805748054459647,2023-06-20 13:53:46.714644,2023-06-20 13:56:09.039212,0 days 00:02:22.324568,37,128,2.174565873293661,COMPLETE
43,0.2229511962212323,2023-06-20 13:53:47.482911,2023-06-20 13:56:13.453632,0 days 00:02:25.970721,39,126,2.1750970413642636,COMPLETE
44,0.21343963621427892,2023-06-20 13:53:53.324933,2023-06-20 13:56:22.356261,0 days 00:02:29.031328,35,102,2.097146173906135,COMPLETE
45,0.20679105885575555,2023-06-20 13:53:54.083994,2023-06-20 13:56:24.090114,0 days 00:02:30.006120,35,102,2.2987998331231903,COMPLETE
46,0.2010883380297286,2023-06-20 13:53:54.659518,2023-06-20 13:56:24.182765,0 days 00:02:29.523247,37,102,2.146881791921892,COMPLETE
47,0.2472429537123228,2023-06-20 13:53:58.771519,2023-06-20 13:56:26.991228,0 days 00:02:28.219709,38,135,2.1434830387363877,COMPLETE
48,0.19251401545193877,2023-06-20 13:55:46.547841,2023-06-20 13:58:06.376544,0 days 00:02:19.828703,40,102,2.059624526709728,COMPLETE
49,0.17050326002687655,2023-06-20 13:55:47.931864,2023-06-20 13:58:05.704117,0 days 00:02:17.772253,40,60,2.007500933967395,COMPLETE
50,0.19549913022846047,2023-06-20 13:55:57.334466,2023-06-20 13:58:17.497819,0 days 00:02:20.163353,43,100,2.9735760489462963,COMPLETE
51,0.19578732167196566,2023-06-20 13:56:01.322251,2023-06-20 13:58:23.510914,0 days 00:02:22.188663,41,102,2.9592305342417937,COMPLETE
52,0.19125500873176737,2023-06-20 13:56:01.410647,2023-06-20 13:58:25.377676,0 days 00:02:23.967029,43,101,2.884975898364252,COMPLETE
53,0.18917576582406156,2023-06-20 13:56:05.581335,2023-06-20 13:58:28.080325,0 days 00:02:22.498990,42,100,2.861921774510886,COMPLETE
54,0.19027867789736835,2023-06-20 13:56:09.089815,2023-06-20 13:58:35.983363,0 days 00:02:26.893548,42,100,2.8948388157111755,COMPLETE
55,0.19006809504484964,2023-06-20 13:56:13.483929,2023-06-20 13:58:40.834087,0 days 00:02:27.350158,44,101,2.856773162680744,COMPLETE
56,0.2075278402324036,2023-06-20 13:56:22.404663,2023-06-20 13:58:46.661009,0 days 00:02:24.256346,72,58,2.9532570310008097,COMPLETE
57,0.21211261778113766,2023-06-20 13:56:24.109999,2023-06-20 13:58:51.975861,0 days 00:02:27.865862,73,54,2.9737890373386056,COMPLETE
58,0.2224854753801454,2023-06-20 13:56:24.206465,2023-06-20 13:58:50.024878,0 days 00:02:25.818413,71,25,2.856477506317564,COMPLETE
59,0.25200167295558135,2023-06-20 13:56:27.026316,2023-06-20 13:59:00.251678,0 days 00:02:33.225362,27,58,2.9066386603582828,COMPLETE
60,0.1652166221342251,2023-06-20 13:58:05.732751,2023-06-20 14:00:25.362059,0 days 00:02:19.629308,44,55,1.9365689441422471,COMPLETE
61,0.17077066770614902,2023-06-20 13:58:06.421627,2023-06-20 14:00:27.313560,0 days 00:02:20.891933,44,61,1.8900769114153477,COMPLETE
62,0.18134523484123327,2023-06-20 13:58:17.520435,2023-06-20 14:00:39.651968,0 days 00:02:22.131533,71,63,1.9371614475739989,COMPLETE
