number,value,datetime_start,datetime_complete,duration,params_cont_pressure_threshold,params_pressure_threshold,state
0,0.8918085452348032,2023-06-18 16:19:11.424365,2023-06-18 16:51:28.492580,0 days 00:32:17.068215,45,34,COMPLETE
1,0.6012596037505675,2023-06-18 16:19:11.434492,2023-06-18 16:49:57.138558,0 days 00:30:45.704066,17,18,COMPLETE
2,0.4159209157348076,2023-06-18 16:19:11.436638,2023-06-18 16:50:56.422778,0 days 00:31:44.986140,12,33,COMPLETE
3,0.8346577856993374,2023-06-18 16:19:11.438622,2023-06-18 16:50:54.449970,0 days 00:31:43.011348,42,67,COMPLETE
4,0.1558858373687071,2023-06-18 16:19:11.444871,2023-06-18 16:50:48.287628,0 days 00:31:36.842757,6,21,COMPLETE
5,0.7803156654176898,2023-06-18 16:19:11.450930,2023-06-18 16:51:27.284072,0 days 00:32:15.833142,35,75,COMPLETE
6,0.6281400092447269,2023-06-18 16:19:11.454891,2023-06-18 16:50:41.016689,0 days 00:31:29.561798,21,66,COMPLETE
7,0.6192600905331298,2023-06-18 16:19:11.460355,2023-06-18 16:51:05.747552,0 days 00:31:54.287197,20,83,COMPLETE
8,0.8053251352703548,2023-06-18 16:19:11.467300,2023-06-18 16:49:32.202983,0 days 00:30:20.735683,39,81,COMPLETE
9,0.8412513815831542,2023-06-18 16:19:11.471556,2023-06-18 16:49:54.276560,0 days 00:30:42.805004,43,66,COMPLETE
10,0.6266970453796119,2023-06-18 16:19:11.475100,2023-06-18 16:49:41.442504,0 days 00:30:29.967404,21,63,COMPLETE
11,0.6845958216535344,2023-06-18 16:19:11.478801,2023-06-18 16:49:52.066047,0 days 00:30:40.587246,24,44,COMPLETE
12,0.7467457187526997,2023-06-18 16:49:32.210853,2023-06-18 17:20:12.486515,0 days 00:30:40.275662,30,59,COMPLETE
13,0.8594316414512428,2023-06-18 16:49:41.453770,2023-06-18 17:20:40.303176,0 days 00:30:58.849406,31,11,COMPLETE
14,0.1684482552114116,2023-06-18 16:49:52.073305,2023-06-18 17:20:40.737030,0 days 00:30:48.663725,5,38,COMPLETE
15,0.8020130218200798,2023-06-18 16:49:54.287201,2023-06-18 17:20:58.466515,0 days 00:31:04.179314,23,6,COMPLETE
16,0.5562744088675398,2023-06-18 16:49:57.143625,2023-06-18 17:20:55.741786,0 days 00:30:58.598161,17,51,COMPLETE
17,0.5520301147545627,2023-06-18 16:50:41.024776,2023-06-18 17:22:44.557132,0 days 00:32:03.532356,16,27,COMPLETE
18,0.9469640822119844,2023-06-18 16:50:48.311088,2023-06-18 17:23:01.523149,0 days 00:32:13.212061,46,9,COMPLETE
19,0.8910127736222184,2023-06-18 16:50:54.463760,2023-06-18 17:23:05.461852,0 days 00:32:10.998092,39,18,COMPLETE
20,0.7537728837843762,2023-06-18 16:50:56.432547,2023-06-18 17:23:03.009218,0 days 00:32:06.576671,30,48,COMPLETE
21,0.3402366202293715,2023-06-18 16:51:05.762680,2023-06-18 17:23:31.928708,0 days 00:32:26.166028,5,6,COMPLETE
22,0.1639650151796701,2023-06-18 16:51:27.292633,2023-06-18 17:24:18.986373,0 days 00:32:51.693740,5,22,COMPLETE
23,0.16029857220564128,2023-06-18 16:51:28.505833,2023-06-18 17:24:14.250762,0 days 00:32:45.744929,7,9,COMPLETE
24,0.3402366202293715,2023-06-18 17:20:12.492905,2023-06-18 17:51:44.460240,0 days 00:31:31.967335,5,6,COMPLETE
25,0.14950568075912002,2023-06-18 17:20:40.314355,2023-06-18 17:52:24.488336,0 days 00:31:44.173981,5,27,COMPLETE
26,0.16033618693064675,2023-06-18 17:20:40.742632,2023-06-18 17:52:35.675816,0 days 00:31:54.933184,5,23,COMPLETE
27,0.18140906993479983,2023-06-18 17:20:55.757050,2023-06-18 17:52:44.435208,0 days 00:31:48.678158,7,23,COMPLETE
28,0.3582330391129246,2023-06-18 17:20:58.477291,2023-06-18 17:52:46.212822,0 days 00:31:47.735531,5,96,COMPLETE
29,0.1639650151796701,2023-06-18 17:22:44.567577,2023-06-18 17:55:26.125994,0 days 00:32:41.558417,5,22,COMPLETE
30,0.3625468545294972,2023-06-18 17:23:01.535133,2023-06-18 17:55:52.279830,0 days 00:32:50.744697,5,98,COMPLETE
31,0.15568916156794904,2023-06-18 17:23:03.023346,2023-06-18 17:55:50.460144,0 days 00:32:47.436798,6,22,COMPLETE
32,0.3625468545294972,2023-06-18 17:23:05.476031,2023-06-18 17:55:53.883488,0 days 00:32:48.407457,5,98,COMPLETE
33,0.16033618693064675,2023-06-18 17:23:31.935647,2023-06-18 17:56:31.714233,0 days 00:32:59.778586,5,23,COMPLETE
34,0.16033618693064675,2023-06-18 17:24:14.262393,2023-06-18 17:57:33.501836,0 days 00:33:19.239443,5,23,COMPLETE
35,0.44145904110330964,2023-06-18 17:24:18.999187,2023-06-18 17:57:44.115688,0 days 00:33:25.116501,9,97,COMPLETE
36,0.3673905136591014,2023-06-18 17:51:44.469181,2023-06-18 18:21:14.442726,0 days 00:29:29.973545,11,24,COMPLETE
37,0.3691645935912998,2023-06-18 17:52:24.500132,2023-06-18 18:22:08.562977,0 days 00:29:44.062845,11,26,COMPLETE
38,0.480977324367821,2023-06-18 17:52:35.683068,2023-06-18 18:22:43.143759,0 days 00:30:07.460691,11,98,COMPLETE
39,0.30727403961374017,2023-06-18 17:52:44.444104,2023-06-18 18:22:26.308167,0 days 00:29:41.864063,10,14,COMPLETE
40,0.3782311172008028,2023-06-18 17:52:46.222856,2023-06-18 18:22:41.041018,0 days 00:29:54.818162,11,34,COMPLETE
41,0.33599944156781775,2023-06-18 17:55:26.133674,2023-06-18 18:24:59.982455,0 days 00:29:33.848781,10,32,COMPLETE
42,0.33599944156781775,2023-06-18 17:55:50.472391,2023-06-18 18:25:22.663654,0 days 00:29:32.191263,10,32,COMPLETE
43,0.33808296486746575,2023-06-18 17:55:52.294515,2023-06-18 18:25:22.181369,0 days 00:29:29.886854,10,33,COMPLETE
44,0.3753666178786955,2023-06-18 17:55:53.895306,2023-06-18 18:25:25.838849,0 days 00:29:31.943543,11,32,COMPLETE
45,0.474539799149281,2023-06-18 17:56:31.736273,2023-06-18 18:25:47.039011,0 days 00:29:15.302738,13,14,COMPLETE
46,0.3753666178786955,2023-06-18 17:57:33.516149,2023-06-18 18:26:04.961608,0 days 00:28:31.445459,11,32,COMPLETE
47,0.41552177776822086,2023-06-18 17:57:44.125896,2023-06-18 18:26:12.125164,0 days 00:28:27.999268,12,32,COMPLETE
48,0.4522624502027506,2023-06-18 18:21:14.452037,2023-06-18 18:29:17.316836,0 days 00:08:02.864799,13,32,COMPLETE
49,0.48605926069299277,2023-06-18 18:22:08.577075,2023-06-18 18:29:10.344705,0 days 00:07:01.767630,14,32,COMPLETE
